idempl,id_cittadino
864,ID_283642355
865,ID_283753277
866,ID_279571949
867,ID_279343095
868,ID_284194157
869,ID_278834983
870,ID_279806072
871,ID_284297162
872,ID_279303200
872,ID_279432476
873,ID_279053498
873,ID_279209799
873,ID_279209799
873,ID_283901268
873,ID_284057569
874,ID_284276402
875,ID_283800512
876,ID_284314731
877,ID_284488643
878,ID_283714102
879,ID_279660216
879,ID_284507986
880,ID_279160145
880,ID_284007915
881,ID_278816284
882,ID_279172730
882,ID_279172730
883,ID_283907779
884,ID_279155505
885,ID_279608859
885,ID_279608859
885,ID_284456629
886,ID_279727533
886,ID_283937366
887,ID_279752392
888,ID_284204617
889,ID_284206973
889,ID_284206973
890,ID_283709170
891,ID_279792012
892,ID_283710548
893,ID_279061740
893,ID_279061740
893,ID_283909510
894,ID_279531325
895,ID_279091795
896,ID_278926329
896,ID_283774100
897,ID_279029016
897,ID_283876786
898,ID_279732495
899,ID_279772792
899,ID_284620562
900,ID_278964331
900,ID_283812102
901,ID_278766394
902,ID_279453599
902,ID_284301369
903,ID_284486108
903,ID_284639133
904,ID_279734039
905,ID_279348114
905,ID_284195884
905,ID_284442195
906,ID_279062809
906,ID_279062809
907,ID_279658605
907,ID_284506375
908,ID_279800415
909,ID_279465154
910,ID_279661936
910,ID_284509706
911,ID_279187988
912,ID_284547977
913,ID_279106081
913,ID_283953851
914,ID_278999053
915,ID_283655482
916,ID_279474136
916,ID_284231717
916,ID_284290745
917,ID_283851840
918,ID_278791789
918,ID_278791789
919,ID_278830870
919,ID_279031342
919,ID_279031342
919,ID_283879112
919,ID_283879112
920,ID_279134094
921,ID_279766015
922,ID_284519098
923,ID_279243654
923,ID_279540915
923,ID_284388685
924,ID_279011058
925,ID_278832506
925,ID_278832506
925,ID_278832506
925,ID_283680277
926,ID_284301012
927,ID_279105645
928,ID_278952936
928,ID_283800707
929,ID_279690497
929,ID_284538267
930,ID_283812875
931,ID_279038245
932,ID_279650468
932,ID_284498238
933,ID_278877661
934,ID_283717473
935,ID_279800115
936,ID_279557737
937,ID_278800142
937,ID_278800142
937,ID_278800142
937,ID_283647913
937,ID_283647913
938,ID_284075260
939,ID_279307073
940,ID_279637611
941,ID_279648109
942,ID_279751604
943,ID_279470350
944,ID_279461401
945,ID_279474859
946,ID_279620149
947,ID_279020433
947,ID_283868203
948,ID_279195214
948,ID_284042984
949,ID_278868315
950,ID_279700118
950,ID_284547888
951,ID_279754009
952,ID_279357804
953,ID_284328330
954,ID_279364901
955,ID_278776559
955,ID_283624330
956,ID_279230754
957,ID_278972489
957,ID_279253358
957,ID_284101128
958,ID_278787384
958,ID_283635155
959,ID_279237771
959,ID_279723613
960,ID_279755174
961,ID_279452182
962,ID_278949529
962,ID_279605272
962,ID_283797300
963,ID_279149531
963,ID_279149531
963,ID_283997301
964,ID_279017719
965,ID_279466173
966,ID_279441103
966,ID_279485399
967,ID_284499072
968,ID_278772698
969,ID_279557072
969,ID_284404842
970,ID_284190992
971,ID_279741655
972,ID_278911986
973,ID_278824010
974,ID_284409770
975,ID_279734676
975,ID_284582446
976,ID_278905818
976,ID_283753589
977,ID_279360182
977,ID_284207952
978,ID_284497634
979,ID_279771574
980,ID_279516499
981,ID_279645192
982,ID_283796121
983,ID_279350526
983,ID_284198296
984,ID_284401719
985,ID_278863811
985,ID_278863811
985,ID_283711582
985,ID_283711582
986,ID_279199308
987,ID_284548023
988,ID_279472037
988,ID_284319807
989,ID_283806376
989,ID_284270998
990,ID_279766815
991,ID_279552421
992,ID_279778380
993,ID_279612056
994,ID_278844304
